seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,day_of_week,main_line_norm,overnight_flag,dep_dt,arr_dt,block_time_min,sched_dur_min,dur_diff_min,est_revenue_won_general
13,3013,화물,정기,하,오봉,15:10:00,부산신항,20:24:00,5:14:00,402.3,화수목금토,경부선,,15:10:00,20:24:00,18840,76.87261146496816,Thu,Gyeongbu Line,0,2024-01-04 15:10:00,2024-01-04 20:24:00,314.0,314.0,0.0,22158684.0
13,3013,화물,정기,하,오봉,15:10:00,부산신항,20:24:00,5:14:00,402.3,화수목금토,경부선,,15:10:00,20:24:00,18840,76.87261146496816,Fri,Gyeongbu Line,0,2024-01-05 15:10:00,2024-01-05 20:24:00,314.0,314.0,0.0,22158684.0
13,3013,화물,정기,하,오봉,15:10:00,부산신항,20:24:00,5:14:00,402.3,화수목금토,경부선,,15:10:00,20:24:00,18840,76.87261146496816,Sat,Gyeongbu Line,0,2024-01-06 15:10:00,2024-01-06 20:24:00,314.0,314.0,0.0,22158684.0
14,3014,화물,정기,상,부산신항,18:19:00,오봉,23:31:00,5:12:00,402.3,월화수목금,경부선,,18:19:00,23:31:00,18720,77.36538461538461,Mon,Gyeongbu Line,0,2024-01-01 18:19:00,2024-01-01 23:31:00,312.0,312.0,0.0,22158684.0
14,3014,화물,정기,상,부산신항,18:19:00,오봉,23:31:00,5:12:00,402.3,월화수목금,경부선,,18:19:00,23:31:00,18720,77.36538461538461,Tue,Gyeongbu Line,0,2024-01-02 18:19:00,2024-01-02 23:31:00,312.0,312.0,0.0,22158684.0
14,3014,화물,정기,상,부산신항,18:19:00,오봉,23:31:00,5:12:00,402.3,월화수목금,경부선,,18:19:00,23:31:00,18720,77.36538461538461,Wed,Gyeongbu Line,0,2024-01-03 18:19:00,2024-01-03 23:31:00,312.0,312.0,0.0,22158684.0
14,3014,화물,정기,상,부산신항,18:19:00,오봉,23:31:00,5:12:00,402.3,월화수목금,경부선,,18:19:00,23:31:00,18720,77.36538461538461,Thu,Gyeongbu Line,0,2024-01-04 18:19:00,2024-01-04 23:31:00,312.0,312.0,0.0,22158684.0
14,3014,화물,정기,상,부산신항,18:19:00,오봉,23:31:00,5:12:00,402.3,월화수목금,경부선,,18:19:00,23:31:00,18720,77.36538461538461,Fri,Gyeongbu Line,0,2024-01-05 18:19:00,2024-01-05 23:31:00,312.0,312.0,0.0,22158684.0
15,3015,화물,정기,하,오봉,16:47:00,부산신항,21:49:00,5:02:00,402.3,일화수목금토,경부선,,16:47:00,21:49:00,18120,79.9271523178808,Sun,Gyeongbu Line,0,2024-01-07 16:47:00,2024-01-07 21:49:00,302.0,302.0,0.0,22158684.0
15,3015,화물,정기,하,오봉,16:47:00,부산신항,21:49:00,5:02:00,402.3,일화수목금토,경부선,,16:47:00,21:49:00,18120,79.9271523178808,Tue,Gyeongbu Line,0,2024-01-02 16:47:00,2024-01-02 21:49:00,302.0,302.0,0.0,22158684.0
