seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,days_en,main_line_norm,overnight_flag
63,3094,화물,정기,상,부산진,9:30:00,동해,20:15:00,10:45:00,423.4,일월화수목금토,중앙선,,09:30:00,20:15:00,38700,39.3860465116279,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jungang Line,0
64,3096,화물,정기,상,부산진,14:45:00,동해,7:48:00,17:03:00,423.4,일월화수목금토,중앙선,,14:45:00,07:48:00,61380,24.832844574780058,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jungang Line,1
65,3097,화물,정기,하,부산신항,10:10:00,순천,13:14:00,3:04:00,159.8,월화수목금토,경전선,,10:10:00,13:14:00,11040,52.108695652173914,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongjeon Line,0
66,3098,화물,정기,상,흥국사,18:15:00,부산신항,21:39:00,3:24:00,178.3,월화수목금토,경전선,,18:15:00,21:39:00,12240,52.44117647058824,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongjeon Line,0
67,3101,화물,정기,하,수색,10:55:00,도담,15:49:00,4:54:00,272.4,일월화수목금토,경부선,,10:55:00,15:49:00,17640,55.59183673469387,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
68,3102,화물,정기,상,제천조차장,4:40:00,수색,9:10:00,4:30:00,254.2,일월화수목금토,경부선,,04:40:00,09:10:00,16200,56.48888888888889,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
69,3103,화물,정기,하,수색,11:28:00,도담,16:56:00,5:28:00,272.4,일월화수목금토,경부선,,11:28:00,16:56:00,19680,49.82926829268292,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
70,3104,화물,정기,상,도담,7:28:00,수색,12:09:00,4:41:00,272.4,일월화수목금토,경부선,,07:28:00,12:09:00,16860,58.16370106761565,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Gyeongbu Line,0
71,3105,화물,정기,하,수색,16:49:00,제천조차장,21:25:00,4:36:00,254.2,월화수목금,경부선,,16:49:00,21:25:00,16560,55.26086956521739,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,0
72,3106,화물,정기,상,제천조차장,10:55:00,수색,15:30:00,4:35:00,254.2,월화수목금,경부선,,10:55:00,15:30:00,16500,55.46181818181818,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongbu Line,0
